Frame,Time(s),Tracker,x (px),y (px)
128,6.74039,2,1060,512
128,6.74039,3,1298,509
129,6.793049,1,851,515
129,6.793049,2,1059,512
129,6.793049,3,1298,509
130,6.8457084,1,850,515
130,6.8457084,2,1059,512
130,6.8457084,3,1298,509
131,6.8983674,1,850,515
131,6.8983674,2,1059,512
131,6.8983674,3,1298,509
132,6.951027,1,850,515
132,6.951027,2,1058,512
132,6.951027,3,1297,509
133,7.003686,1,849,515
133,7.003686,2,1058,512
133,7.003686,3,1297,509
134,7.0563455,1,849,515
134,7.0563455,2,1058,512
134,7.0563455,3,1297,509
135,7.109005,1,848,515
135,7.109005,2,1058,512
135,7.109005,3,1296,509
136,7.161664,1,848,515
136,7.161664,2,1057,512
136,7.161664,3,1296,509
137,7.2143235,1,848,515
137,7.2143235,2,1057,512
137,7.2143235,3,1296,509
138,7.2669826,1,847,515
138,7.2669826,2,1056,512
138,7.2669826,3,1296,509
139,7.319642,1,847,515
139,7.319642,2,1056,512
139,7.319642,3,1296,509
140,7.372301,1,847,515
140,7.372301,2,1056,512
140,7.372301,3,1295,509
141,7.4249606,1,846,515
141,7.4249606,2,1056,512
141,7.4249606,3,1295,509
142,7.4776196,1,846,515
142,7.4776196,2,1055,512
142,7.4776196,3,1295,509
143,7.530279,1,845,515
143,7.530279,2,1055,512
143,7.530279,3,1295,509
144,7.582938,1,845,515
144,7.582938,2,1055,512
144,7.582938,3,1294,509
145,7.6355977,1,845,515
145,7.6355977,2,1054,512
145,7.6355977,3,1294,509
146,7.6882567,1,844,515
146,7.6882567,2,1054,512
146,7.6882567,3,1294,509
147,7.7409163,1,844,515
147,7.7409163,2,1054,512
147,7.7409163,3,1294,509
148,7.793576,1,844,515
148,7.793576,2,1053,512
148,7.793576,3,1293,509
149,7.846235,1,843,515
149,7.846235,2,1053,512
149,7.846235,3,1293,509
150,7.8988943,1,843,515
150,7.8988943,2,1053,512
150,7.8988943,3,1293,509
151,7.9515533,1,843,515
151,7.9515533,2,1052,512
151,7.9515533,3,1293,509
152,8.004212,1,842,515
152,8.004212,2,1052,512
152,8.004212,3,1292,509
153,8.056872,1,842,515
153,8.056872,2,1052,512
153,8.056872,3,1292,509
154,8.109531,1,841,515
154,8.109531,2,1052,512
154,8.109531,3,1292,509
155,8.16219,1,841,515
155,8.16219,2,1051,512
155,8.16219,3,1292,509
156,8.214849,1,841,515
156,8.214849,2,1051,512
156,8.214849,3,1291,509
157,8.267509,1,840,515
157,8.267509,2,1051,512
157,8.267509,3,1291,509
158,8.3201685,1,840,515
158,8.3201685,2,1050,512
158,8.3201685,3,1291,509
159,8.372828,1,840,515
159,8.372828,2,1050,512
159,8.372828,3,1291,509
160,8.4254875,1,839,515
160,8.4254875,2,1050,512
160,8.4254875,3,1290,509
161,8.478147,1,839,515
161,8.478147,2,1050,512
161,8.478147,3,1290,509
162,8.530806,1,839,515
162,8.530806,2,1049,512
162,8.530806,3,1290,509
163,8.583465,1,838,515
163,8.583465,2,1049,512
163,8.583465,3,1289,509
164,8.636125,1,838,515
164,8.636125,2,1049,512
164,8.636125,3,1289,509
165,8.688784,1,838,515
165,8.688784,2,1048,512
165,8.688784,3,1289,509
166,8.741443,1,837,515
166,8.741443,2,1048,512
166,8.741443,3,1289,509
167,8.794102,1,837,515
167,8.794102,2,1048,512
167,8.794102,3,1289,509
168,8.846762,1,836,515
168,8.846762,2,1047,512
168,8.846762,3,1288,509
169,8.899421,1,836,515
169,8.899421,2,1047,512
169,8.899421,3,1288,509
170,8.95208,1,836,515
170,8.95208,2,1047,512
170,8.95208,3,1288,509
171,9.00474,1,835,515
171,9.00474,2,1046,512
171,9.00474,3,1288,509
172,9.057399,1,835,515
172,9.057399,2,1046,512
172,9.057399,3,1287,509
173,9.110058,1,835,515
173,9.110058,2,1046,512
173,9.110058,3,1287,509
174,9.162717,1,834,515
174,9.162717,2,1045,512
174,9.162717,3,1287,509
175,9.215377,1,834,515
175,9.215377,2,1045,512
175,9.215377,3,1287,509
176,9.268036,1,833,515
176,9.268036,2,1045,512
176,9.268036,3,1286,509
177,9.320695,1,833,515
177,9.320695,2,1045,512
177,9.320695,3,1286,509
178,9.373354,1,833,515
178,9.373354,2,1044,512
178,9.373354,3,1286,509
179,9.426014,1,832,515
179,9.426014,2,1044,512
179,9.426014,3,1286,509
180,9.478673,1,832,515
180,9.478673,2,1044,512
180,9.478673,3,1285,509
181,9.531332,1,832,515
181,9.531332,2,1043,512
